Zip,Total_Population,Male_Population,Female_Population
13367,8786,4253,4533
13368,1025,471,554
13402,1295,569,726
13403,7133,4548,2585
13404,162,81,81
13406,491,270,221
13407,5125,2634,2491
13408,3422,1678,1744
13409,2123,1088,1035
13410,575,233,342
13411,2920,1509,1411
13413,16940,7539,9401
13415,92,55,37
13416,2120,1036,1084
13417,3012,1470,1542
13418,186,123,63
13420,890,444,446
13421,12742,6036,6706
13424,2285,1259,1026
13425,1743,953,790
13428,1470,683,787
13431,1929,1036,893
13433,1708,877,831
13435,337,136,201
13436,107,47,60
13437,254,153,101
13438,3310,1587,1723
13439,3667,1800,1867
13440,41273,21498,19775
13441,145,53,92
13450,251,192,59
13452,4850,2482,2368
13454,754,333,421
13455,71,46,25
13456,4103,2041,2062
13457,38,23,15
13459,2034,980,1054
13460,4286,2224,2062
13461,3046,1431,1615
13464,1154,605,549
13468,305,151,154
13469,1107,458,649
13470,771,395,376
13471,2692,1263,1429
13472,277,118,159
13473,1060,594,466
13475,49,17,32
13476,2540,1318,1222
13477,1468,769,699
13478,3331,1816,1515
13480,3454,1675,1779
13482,73,26,47
13483,405,234,171
13484,103,26,77
13485,1715,840,875
13486,691,326,365
13488,130,52,78
13489,508,283,225
13490,1346,832,514
13491,3570,1678,1892
13492,11233,5299,5934
13493,2355,1272,1083
13494,312,175,137
13495,1889,1002,887
13501,40235,19480,20755
13502,33241,16730,16511
13601,37409,18988,18421
13602,2700,2423,277
13603,13973,7420,6553
13605,5106,2690,2416
13606,2397,1313,1084
13607,2061,1148,913
13608,1845,969,876
13611,265,115,150
13612,2940,1472,1468
13613,2733,1336,1397
13614,287,130,157
